iter	Passed	Remaining
320	555733	1175522
321	557409	1173675
322	559044	1171742
323	560681	1169817
324	562425	1168113
325	564130	1166330
326	565855	1164589
327	567572	1162831
328	569307	1161109
329	571003	1159309
330	572684	1157479
331	574376	1155673
332	576113	1153957
333	577892	1152323
334	579623	1150595
335	581293	1148746
336	583000	1146971
337	584706	1145193
338	586478	1143547
339	588267	1141930
340	590118	1140434
341	591781	1138573
342	593437	1136701
343	595102	1134846
344	596853	1133155
345	598564	1131391
346	600204	1129491
347	601935	1127763
348	603654	1126013
349	605312	1124151
350	606998	1122342
351	608876	1120885
352	610533	1119022
353	612177	1117137
354	613914	1115422
355	615661	1113724
356	617451	1112104
357	619204	1110417
358	620926	1108673
359	622668	1106965
360	624352	1105156
361	626052	1103374
362	627755	1101599
363	629500	1099897
364	631302	1098292
365	633038	1096574
366	634831	1094954
367	636591	1093276
368	638282	1091481
369	639914	1089583
370	641622	1087817
371	643318	1086031
372	644987	1084201
373	646708	1082457
374	648467	1080779
375	650226	1079099
376	652057	1077538
377	653856	1075922
378	655590	1074199
379	657254	1072362
380	658991	1070644
381	660742	1068949
382	662504	1067273
383	664174	1065447
384	665838	1063612
385	667631	1061983
386	669340	1060221
387	671027	1058425
388	672720	1056637
389	674435	1054886
390	676176	1053175
391	677792	1051269
392	679445	1049423
393	681162	1047677
394	682909	1045975
395	684672	1044297
396	686453	1042649
397	688170	1040901
398	689887	1039154
399	691560	1037340
400	693277	1035593
401	695027	1033896
402	696739	1032142
403	698462	1030404
404	700143	1028605
405	701793	1026761
406	703413	1024874
407	705144	1023150
408	706871	1021420
409	708535	1019599
410	710167	1017734
411	711908	1016025
412	713605	1014253
413	715285	1012456
414	717024	1010745
415	718812	1009101
416	720655	1007534
417	722363	1005778
418	724126	1004099
419	725923	1002465
420	727681	1000778
421	729515	999193
422	731267	997497
423	732992	995763
424	734915	994297
425	736559	992454
426	738273	990703
427	739995	988965
428	741693	987196
429	743410	985450
430	745288	983919
431	747057	982242
432	748910	980675
433	750648	978956
434	752420	977282
435	754189	975602
436	755908	973859
437	757675	972177
438	759353	970381
439	761100	968672
440	762810	966918
441	764587	965248
442	766326	963529
443	768035	961774
444	769649	959900
445	771327	958106
446	773016	956326
447	774691	954530
448	776488	952884
449	778179	951108
450	779854	949312
451	781572	947570
452	783302	945842
453	785095	944189
454	786907	942559
455	788626	940817
456	790377	939113
457	792075	937346
458	793734	935534
459	795398	933728
460	797033	931889
461	798710	930099
462	800554	928504
463	802273	926763
464	804040	925078
465	805732	923307
466	807455	921571
467	809222	919884
468	810999	918210
469	812754	916510
470	814390	914676
471	816075	912897
472	817792	911156
473	819568	909478
474	821267	907716
475	822952	905939
476	824630	904155
477	826321	902384
478	827998	900599
479	829680	898820
480	831507	897198
481	833244	895478
482	835082	893867
483	836871	892201
484	838799	890684
485	840501	888925
486	842423	887398
487	844388	885915
488	846276	884349
489	848104	882720
490	849893	881049
491	851829	879531
492	853591	877831
493	855327	876104
494	857035	874349
495	858756	872607
496	860430	870817
497	862117	869041
498	863801	867263
499	865613	865613
500	867379	863916
501	869098	862173
502	870817	860429
503	872579	858728
504	874303	856990
505	875996	855222
506	877817	853577
507	879499	851799
508	881205	850042
509	883040	848411
510	884776	846684
511	886534	844977
512	888199	843183
513	889890	841414
514	891556	839621
515	893331	837930
516	895009	836150
517	896799	834473
518	898609	832815
519	900285	831033
520	902092	829371
521	903786	827605
522	905497	825855
523	907318	824205
524	909061	822483
525	910774	820736
526	912412	818920
527	914100	817150
528	915927	815504
529	917834	813929
530	919694	812310
531	921500	810643
532	923251	808927
533	925033	807238
534	926746	805489
535	928439	803723
536	930145	801969
537	931803	800173
538	933466	798382
539	935145	796605
540	936921	794911
541	938642	793169
542	940358	791425
543	942015	789630
544	943703	787862
545	945427	786124
546	947142	784379
547	948895	782665
548	950739	781026
549	952493	779313
550	954345	777679
551	956014	775895
552	957677	774108
553	959381	772354
554	961200	770692
555	962937	768964
556	964666	767230
557	966319	765435
558	968078	763726
559	969910	762072
560	971885	760530
561	973689	758854
562	975466	757156
563	977156	755390
564	978924	753685
565	980591	751902
566	982405	750231
567	984291	748615
568	986067	746915
569	987873	745237
570	989622	743516
571	991386	741806
572	993123	740076
573	994920	738390
574	996670	736669
575	998406	734938
576	1000190	733242
577	1001957	731533
578	1003695	729802
579	1005426	728067
580	1007040	726248
581	1008725	724479
582	1010371	722683
583	1012048	720911
584	1013803	719193
585	1015618	717518
586	1017385	715809
587	1019053	714030
588	1020670	712216
589	1022462	710524
590	1024101	708726
591	1025861	707012
592	1027552	705251
593	1029486	703655
594	1031906	702389
595	1034189	701027
596	1036400	699613
597	1038406	698059
598	1040278	696413
599	1042279	694852
600	1044176	693222
601	1046115	691617
602	1048016	689987
603	1049928	688363
604	1051843	686740
605	1053618	685026
606	1055417	683326
607	1057210	681622
608	1059017	679927
609	1060956	678316
610	1062763	676620
611	1064614	674951
612	1066341	673204
613	1068137	671499
614	1069947	669804
615	1071668	668052
616	1073466	666349
617	1075286	664659
618	1077057	662938
619	1078920	661273
620	1080828	659636
621	1082825	658051
622	1084715	656401
623	1086536	654708
624	1088386	653031
625	1090146	651301
626	1091955	649600
627	1093752	647891
628	1095636	646234
629	1097441	644529
630	1099239	642820
631	1101072	641130
632	1102817	639390
633	1104593	637667
634	1106310	635910
635	1107996	634136
636	1109747	632399
637	1111502	630664
638	1113284	628944
639	1115114	627251
640	1116898	625532
641	1118740	623845
642	1120462	622091
643	1122208	620351
644	1124052	618664
645	1125790	616919
646	1127758	615299
647	1129520	613566
648	1131319	611853
649	1133150	610158
650	1134958	608449
651	1136708	606709
652	1138483	604983
653	1140284	603269
654	1142114	601571
655	1143977	599890
656	1145834	598205
657	1147712	596531
658	1149554	594837
659	1151414	593152
660	1153123	591390
661	1154870	589646
662	1156706	587948
663	1158503	586230
664	1160260	584492
665	1162126	582808
666	1163977	581116
667	1165675	579347
668	1167336	577560
669	1169045	575798
670	1170720	574019
671	1172402	572244
672	1174097	570475
673	1175797	568709
674	1177448	566919
675	1179263	565208
676	1181097	563507
677	1182963	561820
678	1184835	560135
679	1186672	558434
680	1188626	556787
681	1190339	555026
682	1192011	553246
683	1193661	551457
684	1195305	549665
685	1196926	547864
686	1198624	546098
687	1200261	544304
688	1201895	542510
689	1203556	540728
690	1205282	538975
691	1206947	537196
692	1208685	535449
693	1210371	533679
694	1212083	531921
695	1213804	530167
696	1215539	528419
697	1217218	526647
698	1218963	524904
699	1220690	523153
700	1222323	521361
701	1223962	519573
702	1225577	517776
703	1227246	516001
704	1229010	514267
705	1230683	512494
706	1232337	510714
707	1234064	508964
708	1235732	507190
709	1237358	505400
710	1239034	503630
711	1240647	501834
712	1242313	500061
713	1243967	498283
714	1245688	496533
715	1247426	494789
716	1249244	493077
717	1250944	491317
718	1252612	489546
719	1254226	487754
720	1255870	485974
721	1257490	484186
722	1259198	482431
723	1260898	480674
724	1262571	478906
725	1264248	477140
726	1265917	475372
727	1267560	473594
728	1269326	471862
729	1271009	470099
730	1272662	468325
731	1274309	466550
732	1275984	464785
733	1277728	463046
734	1279559	461337
735	1281251	459579
736	1282942	457820
737	1284604	456052
738	1286253	454279
739	1287941	452520
740	1289654	450769
741	1291278	448988
742	1292999	447242
743	1294706	445490
744	1296392	443731
745	1298091	441977
746	1299765	440214
747	1301438	438452
748	1303095	436684
749	1304769	434923
750	1306395	433145
751	1308135	431406
752	1309784	429637
753	1311403	427858
754	1313145	426120
755	1314810	424356
756	1316490	422598
757	1318175	420842
758	1319862	419086
759	1321505	417317
760	1323202	415565
761	1324868	413804
762	1326516	412037
763	1328192	410279
764	1329896	408530
765	1331618	406786
766	1333279	405024
767	1334939	403262
768	1336595	401499
769	1338365	399771
770	1340057	398019
771	1341736	396264
772	1343433	394513
773	1345100	392755
774	1346803	391007
775	1348530	389266
776	1350234	387519
777	1351879	385754
778	1353545	383996
779	1355174	382228
780	1356805	380461
781	1358536	378722
782	1360234	376974
783	1361914	375221
784	1363624	373476
785	1365288	371719
786	1367006	369977
787	1368725	368235
788	1370371	366474
789	1372059	364724
790	1373703	362963
791	1375367	361207
792	1377029	359451
793	1378811	357726
794	1380564	355994
795	1382379	354278
796	1384067	352529
797	1385727	350773
798	1387463	349036
799	1389152	347288
800	1390833	345537
801	1392479	343779
802	1394114	342018
803	1395756	340259
804	1397506	338526
805	1399223	336785
806	1400885	335032
807	1402511	333270
808	1404163	331514
809	1405812	329758
810	1407495	328010
811	1409303	326291
812	1411029	324554
813	1412788	322823
814	1414506	321084
815	1416150	319328
816	1417780	317568
817	1419475	315824
818	1421104	314065
819	1422784	312318
820	1424434	310564
821	1426123	308820
822	1427928	307100
823	1429795	305393
824	1431472	303645
825	1433117	301891
826	1434750	300135
827	1436428	298388
828	1438075	296635
829	1439745	294887
830	1441463	293149
831	1443146	291404
832	1444911	289676
833	1446651	287942
834	1448343	286199
835	1450061	284461
836	1451751	282718
837	1453450	280977
838	1455143	279235
839	1456835	277492
840	1458573	275758
841	1460254	274014
842	1461928	272269
843	1463574	270518
844	1465258	268775
845	1466891	267022
846	1468587	265282
847	1470259	263537
848	1471948	261795
849	1473618	260050
850	1475274	258303
851	1476964	256561
852	1478702	254829
853	1480388	253087
854	1482018	251336
855	1483681	249591
856	1485329	247843
857	1487069	246111
858	1488786	244375
859	1490428	242627
860	1492111	240886
861	1493829	239151
862	1495567	237419
863	1497264	235680
864	1498978	233944
865	1500638	232200
866	1502304	230457
867	1503957	228712
868	1505653	226974
869	1507295	225228
870	1509006	223492
871	1510675	221750
872	1512423	220020
873	1514102	218280
874	1515988	216569
875	1517644	214826
876	1519327	213087
877	1520995	211345
878	1522639	209601
879	1524292	207858
880	1525952	206116
881	1527599	204372
882	1529293	202635
883	1531000	200900
884	1532697	199164
885	1534350	197422
886	1535965	195675
887	1537587	193929
888	1539310	192197
889	1540999	190460
890	1542699	188725
891	1544465	186998
892	1546251	185273
893	1547930	183535
894	1549643	181801
895	1551305	180062
896	1552962	178322
897	1554617	176582
898	1556357	174852
899	1558090	173121
900	1559796	171387
901	1561551	169658
902	1563273	167926
903	1564933	166187
904	1566542	164443
905	1568215	162706
906	1569914	160972
907	1571580	159234
908	1573275	157500
909	1574939	155763
910	1576635	154029
911	1578404	152302
912	1580204	150578
913	1581961	148849
914	1583616	147111
915	1585292	145376
916	1586910	143635
917	1588601	141901
918	1590301	140168
919	1591990	138433
920	1593630	136695
921	1595294	134959
922	1596958	133224
923	1598650	131490
924	1600299	129754
925	1601965	128018
926	1603636	126284
927	1605331	124551
928	1607024	122818
929	1608764	121089
930	1610491	119359
931	1612160	117625
932	1613865	115893
933	1615535	114159
934	1617197	112425
935	1618925	110695
936	1620619	108963
937	1622267	107228
938	1623959	105496
939	1625671	103766
940	1627338	102032
941	1629077	100304
942	1630760	98571
943	1632414	96838
944	1634106	95106
945	1635849	93378
946	1637509	91645
947	1639205	89914
948	1640867	88181
949	1642523	86448
950	1644271	84720
951	1645988	82991
952	1647684	81260
953	1649405	79531
954	1651104	77800
955	1652824	76071
956	1654461	74338
957	1656115	72606
958	1657766	70874
959	1659473	69144
960	1661139	67413
961	1662780	65681
962	1664464	63951
963	1666106	62219
964	1667761	60488
965	1669461	58759
966	1671071	57027
967	1672707	55296
968	1674392	53566
969	1676135	51839
970	1677888	50112
971	1679704	48386
972	1681402	46657
973	1683034	44926
974	1684668	43196
975	1686292	41466
976	1687951	39736
977	1689687	38009
978	1691424	36281
979	1693139	34553
980	1694857	32825
981	1696522	31097
982	1698228	29369
983	1699909	27640
984	1701565	25912
985	1703216	24183
986	1704852	22454
987	1706593	20727
988	1708304	19000
989	1710058	17273
990	1711831	15546
991	1713522	13818
992	1715258	12091
993	1716928	10363
994	1718594	8636
995	1720296	6908
996	1721941	5181
997	1723605	3454
998	1725323	1727
999	1726978	0
