iter	MultiClass
269	1.682000552
270	1.681872644
271	1.681740964
272	1.68162063
273	1.681471925
274	1.681324509
275	1.681223298
276	1.681080478
277	1.681000273
278	1.68083072
279	1.680711275
280	1.680601938
281	1.680423988
282	1.680289828
283	1.680186632
284	1.680112579
285	1.679972555
286	1.679883519
287	1.6797927
288	1.679670484
289	1.679543128
290	1.679365584
291	1.679240893
292	1.679087829
293	1.678935308
294	1.67880435
295	1.678694867
296	1.678590144
297	1.678507024
298	1.678399496
299	1.678271731
300	1.678139234
301	1.677994571
302	1.677918927
303	1.677823027
304	1.677729673
305	1.677631225
306	1.67749534
307	1.677379637
308	1.677292354
309	1.677161778
310	1.677005181
311	1.676911019
312	1.676811797
313	1.676673588
314	1.676525311
315	1.676411493
316	1.676282927
317	1.676162302
318	1.67603696
319	1.675877499
320	1.675739271
321	1.67561921
322	1.675506697
323	1.675387574
324	1.675257814
325	1.675167588
326	1.675080296
327	1.674940069
328	1.67482131
329	1.67470959
330	1.674614766
331	1.67444294
332	1.674338939
333	1.674218199
334	1.674108161
335	1.674005094
336	1.673883124
337	1.673752563
338	1.673652989
339	1.673570139
340	1.67341471
341	1.673298171
342	1.673206068
343	1.673087322
344	1.672974163
345	1.672843445
346	1.672735019
347	1.672616529
348	1.672509099
349	1.672402752
350	1.672311827
351	1.672169549
352	1.672043555
353	1.671958658
354	1.671828293
355	1.671728739
356	1.671624092
357	1.671527767
358	1.671423839
359	1.671351033
360	1.671235756
361	1.671143432
362	1.671038723
363	1.670945972
364	1.670811262
365	1.670693455
366	1.670553993
367	1.670427357
368	1.67034815
369	1.670269906
370	1.67014822
371	1.670057906
372	1.669973402
373	1.669883542
374	1.669774992
375	1.669682904
376	1.669555489
377	1.66939257
378	1.669291345
379	1.66921475
380	1.669133649
381	1.66904677
382	1.668958832
383	1.668881061
384	1.668811981
385	1.668692431
386	1.668612824
387	1.66852963
388	1.668429183
389	1.668315197
390	1.668145113
391	1.668079911
392	1.667966885
393	1.667853768
394	1.667725273
395	1.667578487
396	1.667479283
397	1.667372429
398	1.667287324
399	1.66718613
400	1.667087262
401	1.667000382
402	1.666904819
403	1.666768827
404	1.666694209
405	1.666632796
406	1.666545903
407	1.666397145
408	1.666306642
409	1.666183675
410	1.666094699
411	1.66597071
412	1.665868934
413	1.6657405
414	1.665648984
415	1.665564823
416	1.665465421
417	1.665316671
418	1.665224118
419	1.665159652
420	1.665064168
421	1.664948334
422	1.664839786
423	1.664756474
424	1.664628999
425	1.664540577
426	1.664469275
427	1.664389394
428	1.664327067
429	1.664267041
430	1.664159323
431	1.66409314
432	1.664012931
433	1.663930044
434	1.663875622
435	1.663797622
436	1.663731758
437	1.663614219
438	1.66351051
439	1.663401764
440	1.663310301
441	1.663190447
442	1.663122796
443	1.663062715
444	1.662977003
445	1.662896134
446	1.66281697
447	1.662731005
448	1.662638747
449	1.66254976
450	1.662486684
451	1.662356231
452	1.662258178
453	1.662155751
454	1.662071538
455	1.661960848
456	1.661832073
457	1.661758435
458	1.6616571
459	1.661557193
460	1.661475098
461	1.661392751
462	1.661289931
463	1.661227364
464	1.661107509
465	1.660990153
466	1.660917061
467	1.660819703
468	1.660707571
469	1.66060681
470	1.660557818
471	1.660494964
472	1.660438644
473	1.660349538
474	1.660256249
475	1.66019707
476	1.66010849
477	1.660028316
478	1.65992589
479	1.659838555
480	1.659759165
481	1.6596441
482	1.659559536
483	1.659477923
484	1.659353744
485	1.659280952
486	1.659198081
487	1.659114327
488	1.658989806
489	1.658924351
490	1.658789459
491	1.658674671
492	1.658582553
493	1.658504431
494	1.658426276
495	1.65832257
496	1.65817684
497	1.658120374
498	1.657987116
499	1.657875094
500	1.657744136
501	1.657651246
502	1.65758303
503	1.657468748
504	1.657403923
505	1.657339356
506	1.657219993
507	1.657137875
508	1.65708253
509	1.656966525
510	1.656893126
511	1.656822434
512	1.656750878
513	1.656671167
514	1.656574809
515	1.656508174
516	1.656398813
517	1.656297925
518	1.656203995
519	1.656143962
520	1.656044051
521	1.655965602
522	1.655875674
523	1.655787506
524	1.655687547
525	1.655628588
526	1.655554453
527	1.655465112
528	1.655350427
529	1.655225191
530	1.655118982
531	1.655027042
532	1.654946697
533	1.654817195
534	1.654730143
535	1.654657362
536	1.654595482
537	1.654497577
538	1.654420976
539	1.65432638
540	1.654226621
541	1.654138862
542	1.654066154
543	1.653974285
544	1.653933968
545	1.653817368
546	1.653735607
547	1.653640127
548	1.653527953
549	1.653414934
550	1.653336723
551	1.65322248
552	1.653165047
553	1.653104228
554	1.652978284
555	1.652882682
556	1.652777804
557	1.652743865
558	1.652676929
559	1.652580412
560	1.652519926
561	1.652427304
562	1.652339826
563	1.65225925
564	1.652180145
565	1.652119095
566	1.652026855
567	1.651944394
568	1.65188117
569	1.651795257
570	1.651679803
571	1.651609911
572	1.651497107
573	1.651410813
574	1.651343141
575	1.651251043
576	1.651162006
577	1.651092522
578	1.651026651
579	1.650961265
580	1.650879981
581	1.650779158
582	1.650680161
583	1.650609561
584	1.650519829
585	1.650423405
586	1.650311662
587	1.650193642
588	1.6500696
589	1.649947571
590	1.649861029
591	1.64979999
592	1.649758065
593	1.649685506
594	1.649575598
595	1.64948424
596	1.649410441
597	1.649328827
598	1.6492124
599	1.649130795
600	1.649022954
601	1.648941988
602	1.648835378
603	1.648718215
604	1.648621916
605	1.648563218
606	1.648489191
607	1.648394286
608	1.648318863
609	1.64820821
610	1.648139199
611	1.648066352
612	1.647976997
613	1.647872357
614	1.647766448
615	1.647693928
616	1.647631795
617	1.647575736
618	1.647505159
619	1.647423576
620	1.647325054
621	1.647231665
622	1.647132463
623	1.647043217
624	1.646976095
625	1.646946801
626	1.646866863
627	1.64679621
628	1.646687597
629	1.646631462
630	1.646564609
631	1.646472716
632	1.646403435
633	1.646306348
634	1.64622752
635	1.646152244
636	1.646089475
637	1.646009885
638	1.645906798
639	1.645783234
640	1.645683168
641	1.645604619
642	1.645553764
643	1.645475637
644	1.645401243
645	1.64532057
646	1.64523272
647	1.645169487
648	1.645083435
649	1.644982504
650	1.64487476
651	1.644818341
652	1.644757515
653	1.644677414
654	1.6445732
655	1.644506973
656	1.644403604
657	1.644326862
658	1.644261981
659	1.644178526
660	1.64413175
661	1.644049789
662	1.643916547
663	1.643845863
664	1.643759145
665	1.643669024
666	1.64359609
667	1.643509494
668	1.643432468
669	1.643329199
670	1.64323908
671	1.643188901
672	1.643148058
673	1.643073085
674	1.643014639
675	1.642911047
676	1.642842518
677	1.642726974
678	1.642638192
679	1.642563225
680	1.642467065
681	1.64238526
682	1.642325366
683	1.642260016
684	1.642202175
685	1.642153406
686	1.642070171
687	1.6420042
688	1.641928446
689	1.64183826
690	1.641771842
691	1.641702443
692	1.641630674
693	1.641558286
694	1.641476494
695	1.6414178
696	1.641368482
697	1.641302631
698	1.641206292
699	1.641096866
700	1.641017048
701	1.640950464
702	1.640882045
703	1.640834075
704	1.640744142
705	1.640672572
706	1.640608295
707	1.640516882
708	1.640444605
709	1.640391944
710	1.640330136
711	1.640279509
712	1.640212307
713	1.640124664
714	1.640044867
715	1.639956078
716	1.639902154
717	1.639826562
718	1.639768738
719	1.639733591
720	1.639680147
721	1.63961281
722	1.639518759
723	1.639401833
724	1.639302988
725	1.639259315
726	1.639196455
727	1.639123961
728	1.639066765
729	1.638954992
730	1.638880961
731	1.638820846
732	1.638741029
733	1.63867396
734	1.638586086
735	1.638541096
736	1.638448927
737	1.638364839
738	1.638305538
739	1.638211613
740	1.638140467
741	1.638073061
742	1.638006187
743	1.63793148
744	1.637866113
745	1.637807479
746	1.637749722
747	1.637642803
748	1.637574881
749	1.637511935
750	1.63747917
751	1.637418255
752	1.637360631
753	1.637311267
754	1.637237267
755	1.637176662
756	1.637134833
757	1.637052601
758	1.636963149
759	1.636909202
760	1.63682408
761	1.636769707
762	1.636720016
763	1.636640749
764	1.636547539
765	1.636460568
766	1.636398264
767	1.636329372
768	1.636270405
769	1.636189335
770	1.636091555
771	1.635984241
772	1.635950798
773	1.635910219
774	1.635826708
775	1.635755748
776	1.635699161
777	1.635609504
778	1.635516483
779	1.635471271
780	1.635391813
781	1.635297462
782	1.635185483
783	1.635142318
784	1.635071029
785	1.634978699
786	1.634904139
787	1.634830279
788	1.634736448
789	1.634646692
790	1.63457005
791	1.634479592
792	1.634395082
793	1.634301255
794	1.634228829
795	1.634147617
796	1.6340757
797	1.634014771
798	1.633941967
799	1.633883072
800	1.633785568
801	1.633723507
802	1.633671399
803	1.633599165
804	1.633506399
805	1.633418017
806	1.633354775
807	1.633279647
808	1.633217483
809	1.633155857
810	1.633057271
811	1.632952092
812	1.63290217
813	1.632826856
814	1.632757057
815	1.632697906
816	1.632659402
817	1.632593001
818	1.632552217
819	1.632478574
820	1.632414391
821	1.632353577
822	1.632257237
823	1.632198962
824	1.632119715
825	1.632045363
826	1.632012702
827	1.631942978
828	1.631898666
829	1.631821885
830	1.631764179
831	1.631690924
832	1.631603814
833	1.631552313
834	1.631489365
835	1.631384659
836	1.631316892
837	1.631258293
838	1.631202373
839	1.631154252
840	1.631056923
841	1.630979128
842	1.630911333
843	1.63085041
844	1.630768939
845	1.630708796
846	1.630653377
847	1.630589137
848	1.630532751
849	1.630488544
850	1.63043989
851	1.630340403
852	1.630262225
853	1.630175983
854	1.630115585
855	1.630012149
856	1.62995067
857	1.629868531
858	1.629765711
859	1.629700226
860	1.629636811
861	1.629575164
862	1.629467374
863	1.629408767
864	1.629322959
865	1.629252016
866	1.629184419
867	1.629128087
868	1.62903517
869	1.628968007
870	1.628911823
871	1.628828408
872	1.628770268
873	1.628712612
874	1.628626359
875	1.628590601
876	1.628546768
877	1.628473326
878	1.628434076
879	1.628381406
880	1.628297576
881	1.628243633
882	1.628168676
883	1.628095539
884	1.628009517
885	1.62794529
886	1.627913318
887	1.627862818
888	1.627770674
889	1.627671323
890	1.627620882
891	1.627541158
892	1.627463403
893	1.627417511
894	1.627335414
895	1.627263955
896	1.627215282
897	1.627140576
898	1.627062514
899	1.627008395
900	1.62696191
901	1.626903167
902	1.62680948
903	1.626713399
904	1.626672998
905	1.626610386
906	1.626536624
907	1.626481227
908	1.62640135
909	1.626329003
910	1.626267732
911	1.626190404
912	1.626099533
913	1.626003448
914	1.625952574
915	1.625877378
916	1.625828571
917	1.625779224
918	1.625743214
919	1.625661292
920	1.625632228
921	1.625570092
922	1.625487914
923	1.625402892
924	1.625353796
925	1.625268734
926	1.625187646
927	1.625114208
928	1.625000912
929	1.624921206
930	1.624869776
931	1.624826706
932	1.624758925
933	1.624684313
934	1.624626994
935	1.624557444
936	1.624496868
937	1.624418968
938	1.624369312
939	1.624327107
940	1.624232713
941	1.624198514
942	1.624079305
943	1.624037654
944	1.623959496
945	1.62390256
946	1.62383511
947	1.623792398
948	1.623725058
949	1.623658743
950	1.623584576
951	1.623501596
952	1.623405288
953	1.623338573
954	1.62324482
955	1.62318098
956	1.623104437
957	1.623045094
958	1.622990027
959	1.62292575
960	1.622825358
961	1.622785774
962	1.62271778
963	1.622684101
964	1.622611472
965	1.622523784
966	1.622508771
967	1.622448814
968	1.622365203
969	1.622292514
970	1.62222945
971	1.622150512
972	1.622064386
973	1.622012147
974	1.621953115
975	1.621917409
976	1.621891528
977	1.621824542
978	1.621763499
979	1.621711641
980	1.621644107
981	1.62159334
982	1.621469199
983	1.621410634
984	1.621328556
985	1.621270228
986	1.62122773
987	1.621139325
988	1.621060077
989	1.621003966
990	1.620888401
991	1.620834586
992	1.620781292
993	1.620700323
994	1.620652861
995	1.620577466
996	1.62053501
997	1.620484956
998	1.620413732
999	1.620341257
